"Confidence"	"Date"	"geogcode"	"variable"	"value type"	"value"	"flag"
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% aged 16-64 who are self employed"	"Numerator"	3200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% aged 16-64 who are self employed"	"Denominator"	56400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% aged 16-64 who are self employed"	"Percent"	5.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% aged 16-64 who are self employed"	"Conf"	2.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"Unemployment rate - aged 16-64"	"Numerator"	1900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"Unemployment rate - aged 16-64"	"Denominator"	39600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"Unemployment rate - aged 16-64"	"Percent"	4.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"Unemployment rate - aged 16-64"	"Conf"	2.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF4+ - aged 16-64"	"Numerator"	19100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF4+ - aged 16-64"	"Denominator"	53300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF4+ - aged 16-64"	"Percent"	35.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF4+ - aged 16-64"	"Conf"	5.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF3+ - aged 16-64"	"Numerator"	31600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF3+ - aged 16-64"	"Denominator"	53300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF3+ - aged 16-64"	"Percent"	59.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF3+ - aged 16-64"	"Conf"	5.2	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF2+ - aged 16-64"	"Numerator"	44800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF2+ - aged 16-64"	"Denominator"	53300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF2+ - aged 16-64"	"Percent"	84.0	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF2+ - aged 16-64"	"Conf"	3.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF1+ - aged 16-64"	"Numerator"	45400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF1+ - aged 16-64"	"Denominator"	53300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF1+ - aged 16-64"	"Percent"	85.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000001"	"% with RQF1+ - aged 16-64"	"Conf"	3.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% aged 16-64 who are self employed"	"Numerator"	5000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% aged 16-64 who are self employed"	"Denominator"	87900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% aged 16-64 who are self employed"	"Percent"	5.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% aged 16-64 who are self employed"	"Conf"	1.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"Unemployment rate - aged 16-64"	"Numerator"	3600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"Unemployment rate - aged 16-64"	"Denominator"	61500	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"Unemployment rate - aged 16-64"	"Percent"	5.9	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"Unemployment rate - aged 16-64"	"Conf"	2.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF4+ - aged 16-64"	"Numerator"	32300	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF4+ - aged 16-64"	"Denominator"	84200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF4+ - aged 16-64"	"Percent"	38.4	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF4+ - aged 16-64"	"Conf"	4.1	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF3+ - aged 16-64"	"Numerator"	49900	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF3+ - aged 16-64"	"Denominator"	84200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF3+ - aged 16-64"	"Percent"	59.2	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF3+ - aged 16-64"	"Conf"	4.2	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF2+ - aged 16-64"	"Numerator"	69600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF2+ - aged 16-64"	"Denominator"	84200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF2+ - aged 16-64"	"Percent"	82.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF2+ - aged 16-64"	"Conf"	3.2	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF1+ - aged 16-64"	"Numerator"	73800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF1+ - aged 16-64"	"Denominator"	84200	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF1+ - aged 16-64"	"Percent"	87.6	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000002"	"% with RQF1+ - aged 16-64"	"Conf"	2.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% aged 16-64 who are self employed"	"Numerator"	5000	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% aged 16-64 who are self employed"	"Denominator"	79400	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% aged 16-64 who are self employed"	"Percent"	6.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% aged 16-64 who are self employed"	"Conf"	2.2	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"Unemployment rate - aged 16-64"	"Numerator"	2800	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"Unemployment rate - aged 16-64"	"Denominator"	60600	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"Unemployment rate - aged 16-64"	"Percent"	4.7	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"Unemployment rate - aged 16-64"	"Conf"	2.3	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF4+ - aged 16-64"	"Numerator"	26500	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF4+ - aged 16-64"	"Denominator"	76100	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF4+ - aged 16-64"	"Percent"	34.8	""
"95% confidence interval of percent figure (+/-)"	"Jan 2024-Dec 2024"	"E06000003"	"% with RQF4+ - aged 16-64"	"Conf"	4.5	""
