"Date"	"Sex"	"Item Name"	"Confidence"	"geogcode"	"pay"	"value type"	"value"	"flag"
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000001"	"Weekly pay - gross"	"number"	698.0	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000001"	"Weekly pay - gross"	"Conf %"	8.3	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000001"	"Hours worked - total"	"number"	37.5	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000001"	"Hours worked - total"	"Conf %"	2.1	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000002"	"Weekly pay - gross"	"number"	626.1	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000002"	"Weekly pay - gross"	"Conf %"	5.4	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000002"	"Hours worked - total"	"number"	37.5	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000002"	"Hours worked - total"	"Conf %"	0.6	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000003"	"Weekly pay - gross"	"number"	666.4	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000003"	"Weekly pay - gross"	"Conf %"	6.0	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000003"	"Hours worked - total"	"number"	37.5	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000003"	"Hours worked - total"	"Conf %"	2.1	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000004"	"Weekly pay - gross"	"number"	616.6	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000004"	"Weekly pay - gross"	"Conf %"	5.0	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000004"	"Hours worked - total"	"number"	37.5	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000004"	"Hours worked - total"	"Conf %"	1.1	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000005"	"Weekly pay - gross"	"number"	636.3	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000005"	"Weekly pay - gross"	"Conf %"	5.7	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000005"	"Hours worked - total"	"number"	37.5	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000005"	"Hours worked - total"	"Conf %"		"-"
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000047"	"Weekly pay - gross"	"number"	612.3	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000047"	"Weekly pay - gross"	"Conf %"	2.7	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000047"	"Hours worked - total"	"number"	37.5	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000047"	"Hours worked - total"	"Conf %"	0.1	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000057"	"Weekly pay - gross"	"number"	666.7	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000057"	"Weekly pay - gross"	"Conf %"	4.2	""
"2024"	"Full Time Workers"	"Median"	"Standard error as a percentage of the figure"	"E06000057"	"Hours worked - total"	"number"	38.1	""
