"Population"	"Units"	"Date"	"Country of birt"	"geogcode"	"Age"	"value type"	"value"	"flag"
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000001"	"Total"	"number"	92340	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000001"	"Aged 15 years and under"	"number"	17653	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000001"	"Aged 16 to 24 years"	"number"	9122	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000001"	"Aged 25 to 34 years"	"number"	11380	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000001"	"Aged 35 to 49 years"	"number"	15946	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000001"	"Aged 50 to 64 years"	"number"	20006	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000001"	"Aged 65 years and over"	"number"	18233	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000002"	"Total"	"number"	143924	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000002"	"Aged 15 years and under"	"number"	29987	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000002"	"Aged 16 to 24 years"	"number"	16943	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000002"	"Aged 25 to 34 years"	"number"	20643	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000002"	"Aged 35 to 49 years"	"number"	25348	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000002"	"Aged 50 to 64 years"	"number"	26825	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000002"	"Aged 65 years and over"	"number"	24178	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000003"	"Total"	"number"	136530	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000003"	"Aged 15 years and under"	"number"	24189	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000003"	"Aged 16 to 24 years"	"number"	12192	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000003"	"Aged 25 to 34 years"	"number"	15369	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000003"	"Aged 35 to 49 years"	"number"	22804	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000003"	"Aged 50 to 64 years"	"number"	30230	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000003"	"Aged 65 years and over"	"number"	31746	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000004"	"Total"	"number"	196594	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000004"	"Aged 15 years and under"	"number"	38584	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000004"	"Aged 16 to 24 years"	"number"	17905	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000004"	"Aged 25 to 34 years"	"number"	25054	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000004"	"Aged 35 to 49 years"	"number"	37194	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000004"	"Aged 50 to 64 years"	"number"	40674	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000004"	"Aged 65 years and over"	"number"	37183	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000005"	"Total"	"number"	107800	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000005"	"Aged 15 years and under"	"number"	19692	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000005"	"Aged 16 to 24 years"	"number"	9969	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000005"	"Aged 25 to 34 years"	"number"	13347	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000005"	"Aged 35 to 49 years"	"number"	20123	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000005"	"Aged 50 to 64 years"	"number"	22629	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000005"	"Aged 65 years and over"	"number"	22040	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000047"	"Total"	"number"	522067	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000047"	"Aged 15 years and under"	"number"	88108	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000047"	"Aged 16 to 24 years"	"number"	58784	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000047"	"Aged 25 to 34 years"	"number"	59885	""
"All usual residents"	"Persons"	"2021"	"Total: All usual residents"	"E06000047"	"Aged 35 to 49 years"	"number"	91436	""
