"Population"	"Units"	"Date"	"Distance travelled to wor"	"geogcode"	"Occupation (current)"	"value type"	"value"	"flag"
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000001"	"Total"	"number"	16336	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000001"	"1. Managers, directors and senior officials"	"number"	1172	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000001"	"2. Professional occupations"	"number"	1725	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000001"	"3. Associate professional and technical occupations"	"number"	1360	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000001"	"4. Administrative and secretarial occupations"	"number"	1428	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000001"	"5. Skilled trades occupations"	"number"	1422	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000001"	"6. Caring, leisure and other service occupations"	"number"	2616	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000001"	"7. Sales and customer service occupations"	"number"	2370	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000001"	"8. Process, plant and machine operatives"	"number"	1511	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000001"	"9. Elementary occupations"	"number"	2732	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000002"	"Total"	"number"	30088	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000002"	"1. Managers, directors and senior officials"	"number"	2009	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000002"	"2. Professional occupations"	"number"	4380	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000002"	"3. Associate professional and technical occupations"	"number"	2442	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000002"	"4. Administrative and secretarial occupations"	"number"	2603	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000002"	"5. Skilled trades occupations"	"number"	2146	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000002"	"6. Caring, leisure and other service occupations"	"number"	5130	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000002"	"7. Sales and customer service occupations"	"number"	3792	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000002"	"8. Process, plant and machine operatives"	"number"	2342	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000002"	"9. Elementary occupations"	"number"	5244	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000003"	"Total"	"number"	21402	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000003"	"1. Managers, directors and senior officials"	"number"	1601	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000003"	"2. Professional occupations"	"number"	2372	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000003"	"3. Associate professional and technical occupations"	"number"	1826	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000003"	"4. Administrative and secretarial occupations"	"number"	1833	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000003"	"5. Skilled trades occupations"	"number"	1871	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000003"	"6. Caring, leisure and other service occupations"	"number"	3836	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000003"	"7. Sales and customer service occupations"	"number"	2834	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000003"	"8. Process, plant and machine operatives"	"number"	1707	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000003"	"9. Elementary occupations"	"number"	3522	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000004"	"Total"	"number"	39486	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000004"	"1. Managers, directors and senior officials"	"number"	3200	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000004"	"2. Professional occupations"	"number"	6381	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000004"	"3. Associate professional and technical occupations"	"number"	3832	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000004"	"4. Administrative and secretarial occupations"	"number"	3837	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000004"	"5. Skilled trades occupations"	"number"	2778	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000004"	"6. Caring, leisure and other service occupations"	"number"	5553	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000004"	"7. Sales and customer service occupations"	"number"	4871	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000004"	"8. Process, plant and machine operatives"	"number"	2833	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000004"	"9. Elementary occupations"	"number"	6201	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000005"	"Total"	"number"	20635	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000005"	"1. Managers, directors and senior officials"	"number"	1623	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000005"	"2. Professional occupations"	"number"	2528	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000005"	"3. Associate professional and technical occupations"	"number"	1571	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000005"	"4. Administrative and secretarial occupations"	"number"	2019	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000005"	"5. Skilled trades occupations"	"number"	1504	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000005"	"6. Caring, leisure and other service occupations"	"number"	2969	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000005"	"7. Sales and customer service occupations"	"number"	2812	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000005"	"8. Process, plant and machine operatives"	"number"	1439	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000005"	"9. Elementary occupations"	"number"	4170	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000047"	"Total"	"number"	70336	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000047"	"1. Managers, directors and senior officials"	"number"	5459	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000047"	"2. Professional occupations"	"number"	7442	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000047"	"3. Associate professional and technical occupations"	"number"	5792	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000047"	"4. Administrative and secretarial occupations"	"number"	6251	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000047"	"5. Skilled trades occupations"	"number"	6271	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000047"	"6. Caring, leisure and other service occupations"	"number"	10599	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000047"	"7. Sales and customer service occupations"	"number"	9158	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000047"	"8. Process, plant and machine operatives"	"number"	6877	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000047"	"9. Elementary occupations"	"number"	12487	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000057"	"Total"	"number"	40413	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000057"	"1. Managers, directors and senior officials"	"number"	3633	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000057"	"2. Professional occupations"	"number"	4470	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000057"	"3. Associate professional and technical occupations"	"number"	3290	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000057"	"4. Administrative and secretarial occupations"	"number"	3719	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000057"	"5. Skilled trades occupations"	"number"	3540	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000057"	"6. Caring, leisure and other service occupations"	"number"	6603	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000057"	"7. Sales and customer service occupations"	"number"	5661	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000057"	"8. Process, plant and machine operatives"	"number"	2967	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000057"	"9. Elementary occupations"	"number"	6530	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000021"	"Total"	"number"	56855	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000021"	"1. Managers, directors and senior officials"	"number"	4373	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000021"	"2. Professional occupations"	"number"	11422	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000021"	"3. Associate professional and technical occupations"	"number"	4672	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000021"	"4. Administrative and secretarial occupations"	"number"	4643	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000021"	"5. Skilled trades occupations"	"number"	3660	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000021"	"6. Caring, leisure and other service occupations"	"number"	7551	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000021"	"7. Sales and customer service occupations"	"number"	7680	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000021"	"8. Process, plant and machine operatives"	"number"	2889	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000021"	"9. Elementary occupations"	"number"	9965	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000022"	"Total"	"number"	40602	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000022"	"1. Managers, directors and senior officials"	"number"	3288	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000022"	"2. Professional occupations"	"number"	7154	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000022"	"3. Associate professional and technical occupations"	"number"	3884	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000022"	"4. Administrative and secretarial occupations"	"number"	4107	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000022"	"5. Skilled trades occupations"	"number"	2827	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000022"	"6. Caring, leisure and other service occupations"	"number"	5524	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000022"	"7. Sales and customer service occupations"	"number"	5720	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000022"	"8. Process, plant and machine operatives"	"number"	2301	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000022"	"9. Elementary occupations"	"number"	5797	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000023"	"Total"	"number"	28757	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000023"	"1. Managers, directors and senior officials"	"number"	2189	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000023"	"2. Professional occupations"	"number"	3801	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000023"	"3. Associate professional and technical occupations"	"number"	2574	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000023"	"4. Administrative and secretarial occupations"	"number"	2824	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000023"	"5. Skilled trades occupations"	"number"	2508	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000023"	"6. Caring, leisure and other service occupations"	"number"	4188	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000023"	"7. Sales and customer service occupations"	"number"	3582	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000023"	"8. Process, plant and machine operatives"	"number"	2642	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000023"	"9. Elementary occupations"	"number"	4449	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000024"	"Total"	"number"	53456	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000024"	"1. Managers, directors and senior officials"	"number"	3888	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000024"	"2. Professional occupations"	"number"	6397	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000024"	"3. Associate professional and technical occupations"	"number"	3972	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000024"	"4. Administrative and secretarial occupations"	"number"	4901	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000024"	"5. Skilled trades occupations"	"number"	4234	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000024"	"6. Caring, leisure and other service occupations"	"number"	7683	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000024"	"7. Sales and customer service occupations"	"number"	7349	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000024"	"8. Process, plant and machine operatives"	"number"	6051	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000024"	"9. Elementary occupations"	"number"	8981	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000037"	"Total"	"number"	39506	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000037"	"1. Managers, directors and senior officials"	"number"	3228	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000037"	"2. Professional occupations"	"number"	5676	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000037"	"3. Associate professional and technical occupations"	"number"	3295	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000037"	"4. Administrative and secretarial occupations"	"number"	3767	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000037"	"5. Skilled trades occupations"	"number"	3106	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000037"	"6. Caring, leisure and other service occupations"	"number"	5433	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000037"	"7. Sales and customer service occupations"	"number"	5307	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000037"	"8. Process, plant and machine operatives"	"number"	3139	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E08000037"	"9. Elementary occupations"	"number"	6555	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000006"	"Total"	"number"	24773	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000006"	"1. Managers, directors and senior officials"	"number"	1802	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000006"	"2. Professional occupations"	"number"	2464	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000006"	"3. Associate professional and technical occupations"	"number"	2060	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000006"	"4. Administrative and secretarial occupations"	"number"	2261	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000006"	"5. Skilled trades occupations"	"number"	1693	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000006"	"6. Caring, leisure and other service occupations"	"number"	3191	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000006"	"7. Sales and customer service occupations"	"number"	3471	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000006"	"8. Process, plant and machine operatives"	"number"	2723	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000006"	"9. Elementary occupations"	"number"	5108	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000007"	"Total"	"number"	39558	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000007"	"1. Managers, directors and senior officials"	"number"	3407	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"Less than 10km"	"E06000007"	"2. Professional occupations"	"number"	4934	""
