"Population"	"Units"	"Date"	"geogcode"	"Industry (current)"	"value type"	"value"	"flag"
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"number"	37749	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"Total: All usual residents aged 16 years and over in employment the week before the census"	"%"	100.0	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"A: Agriculture, Forestry and fishing"	"number"	149	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"A: Agriculture, Forestry and fishing"	"%"	0.4	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"B: Mining and quarrying"	"number"	428	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"B: Mining and quarrying"	"%"	1.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"C: Manufacturing"	"number"	3874	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"C: Manufacturing"	"%"	10.3	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"D: Electricity, gas, steam and air conditioning supply"	"number"	584	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"D: Electricity, gas, steam and air conditioning supply"	"%"	1.5	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"number"	444	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"E:  Water supply; Sewerage, Waste management and Remediation activities"	"%"	1.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"F: Construction"	"number"	3809	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"F: Construction"	"%"	10.1	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"number"	5734	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"G: Wholesale and retail trade; repair of motor vehicles and motorcycles"	"%"	15.2	""
"All usual residents aged 16 years and over in employment the week before the census"	"Persons"	"2021"	"E06000001"	"H: Transport and storage"	"number"	1452	""
