
"TS067 - Highest level of qualification"
"ONS Crown Copyright Reserved [from Nomis on 9 July 2025]"
"Population :","All usual residents aged 16 years and over"
"Units      :","Persons"
"Date       :","2021"

"local authority: district / unitary (as of April 2023)","mnemonic","Total: All usual residents aged 16 years and over","%","No qualifications","%","Level 1 and entry level qualifications","%","Level 2 qualifications","%","Apprenticeship","%","Level 3 qualifications","%","Level 4 qualifications or above","%","Other qualifications","%"

"Hartlepool","E06000001",74686,100.0,17286,23.1,7076,9.5,10963,14.7,5205,7.0,13776,18.4,18526,24.8,1854,2.5
"Middlesbrough","E06000002",113939,100.0,27282,23.9,11221,9.8,15270,13.4,7040,6.2,19976,17.5,30127,26.4,3023,2.7
"Redcar and Cleveland","E06000003",112342,100.0,24732,22.0,10983,9.8,15663,13.9,8692,7.7,21300,19.0,28003,24.9,2969,2.6
"Stockton-on-Tees","E06000004",158010,100.0,29441,18.6,15324,9.7,23005,14.6,10565,6.7,29004,18.4,46648,29.5,4023,2.5
"Darlington","E06000005",88107,100.0,16972,19.3,8276,9.4,12733,14.5,6215,7.1,16141,18.3,25517,29.0,2253,2.6
"County Durham","E06000047",433958,100.0,90804,20.9,41359,9.5,61724,14.2,27061,6.2,86414,19.9,116019,26.7,10577,2.4
"Northumberland","E06000057",268846,100.0,48173,17.9,26051,9.7,38873,14.5,18624,6.9,47690,17.7,82653,30.7,6782,2.5
"Newcastle upon Tyne","E08000021",248450,100.0,46232,18.6,19729,7.9,25891,10.4,11943,4.8,52768,21.2,86063,34.6,5824,2.3
"North Tyneside","E08000022",171512,100.0,29968,17.5,16025,9.3,24300,14.2,11773,6.9,28969,16.9,56375,32.9,4102,2.4
"South Tyneside","E08000023",121292,100.0,24849,20.5,12323,10.2,17393,14.3,9706,8.0,22265,18.4,31707,26.1,3049,2.5
"Sunderland","E08000024",226071,100.0,51666,22.9,24530,10.9,33553,14.8,16312,7.2,38679,17.1,55532,24.6,5799,2.6
"Gateshead","E08000037",161746,100.0,34975,21.6,16022,9.9,22280,13.8,11629,7.2,27436,17.0,45246,28.0,4158,2.6
"Halton","E06000006",103948,100.0,21865,21.0,12338,11.9,17403,16.7,5718,5.5,19057,18.3,24876,23.9,2691,2.6
"Warrington","E06000007",172717,100.0,28453,16.5,17238,10.0,25489,14.8,10298,6.0,29830,17.3,56955,33.0,4454,2.6
"Blackburn with Darwen","E06000008",119508,100.0,28923,24.2,12968,10.9,16574,13.9,6550,5.5,18823,15.8,32054,26.8,3616,3.0
"Blackpool","E06000009",116340,100.0,28575,24.6,13677,11.8,17470,15.0,7889,6.8,19382,16.7,26177,22.5,3170,2.7
"Cheshire East","E06000049",329473,100.0,49524,15.0,28571,8.7,45115,13.7,19394,5.9,55373,16.8,123785,37.6,7711,2.3
"Cheshire West and Chester","E06000050",295358,100.0,46771,15.8,27467,9.3,40467,13.7,15914,5.4,52461,17.8,105387,35.7,6891,2.3
"Cumberland","E06000063",227864,100.0,46645,20.5,23238,10.2,32264,14.2,16998,7.5,40159,17.6,62870,27.6,5690,2.5
"Westmorland and Furness","E06000064",192172,100.0,30786,16.0,17565,9.1,25594,13.3,15530,8.1,34645,18.0,63595,33.1,4457,2.3
"Burnley","E07000117",75199,100.0,18347,24.4,8368,11.1,10415,13.8,4920,6.5,12610,16.8,18299,24.3,2240,3.0
"Chorley","E07000118",96369,100.0,15422,16.0,9007,9.3,13468,14.0,6465,6.7,17264,17.9,32614,33.8,2129,2.2
"Fylde","E07000119",69247,100.0,11117,16.1,6406,9.3,9605,13.9,4387,6.3,12055,17.4,23868,34.5,1809,2.6
"Hyndburn","E07000120",65632,100.0,14951,22.8,6845,10.4,9321,14.2,4778,7.3,11527,17.6,16514,25.2,1696,2.6
