
"RM121 - Sex by age"
"ONS Crown Copyright Reserved [from Nomis on 7 July 2025]"
"Population :","All Usual residents"
"Units      :","Persons"
"Date       :","2021"
"Sex        :","All persons"

"local authority: district / unitary (as of April 2023)","mnemonic","Total","Aged 18 to 19 years","Aged 20 to 24 years","Aged 25 to 29 years","Aged 30 to 34 years","Aged 35 to 39 years","Aged 40 to 44 years","Aged 45 to 49 years","Aged 50 to 54 years","Aged 55 to 59 years","Aged 60 to 64 years","Aged 65 years","Aged 66 to 69 years","Aged 70 to 74 years","Aged 75 to 79 years","Aged 80 to 84 years","Aged 85 years and over"

"Hartlepool","E06000001",92337,1836,5110,5495,5884,5463,5065,5417,6579,7132,6297,1120,4126,5084,3221,2463,2217
"Middlesbrough","E06000002",143926,3293,10171,10322,10320,9377,8042,7930,8736,9368,8720,1529,5679,6462,4300,3236,2972
"Redcar and Cleveland","E06000003",136531,2550,6575,7461,7909,7604,7251,7949,10012,10654,9564,1762,6735,8675,6341,4478,3755
"Stockton-on-Tees","E06000004",196592,3535,9689,11918,13135,13052,11966,12175,13932,14010,12734,2319,8474,10253,6870,4954,4312
"Darlington","E06000005",107801,2001,5426,6379,6968,6562,6642,6919,7770,7855,7007,1285,4673,5980,4149,3121,2832
"County Durham","E06000047",522066,14783,33054,29206,30679,30620,29185,31628,37933,39456,35125,6509,24533,30716,21730,15059,12793
"Northumberland","E06000057",320572,5590,13905,15927,16936,17408,17417,19673,23213,25776,24758,4705,17880,22975,15814,10593,9584
"Newcastle upon Tyne","E08000021",300125,14527,36645,23390,21246,19594,16945,16060,16761,17360,15496,2686,9989,11788,7863,5973,6216
"North Tyneside","E08000022",208968,3527,9510,12212,13855,14318,13643,13627,14636,15220,13596,2497,9655,11820,7837,5645,5443
"South Tyneside","E08000023",147777,2745,7287,8670,9857,9376,8461,8751,10428,11229,10476,1898,6880,8374,5554,4297,3835
"Sunderland","E08000024",274174,5682,15142,17023,18044,17055,15654,16829,19447,20034,18912,3298,12805,15496,10223,7708,6738
"Gateshead","E08000037",196149,3905,10410,12731,13142,12973,11897,12060,13936,14243,12555,2211,8405,10743,7357,5846,5211
"Halton","E06000006",128475,2542,6704,7963,8515,8542,7991,8328,9086,9145,8184,1476,5778,7104,4293,2867,2441
"Warrington","E06000007",210973,3814,10504,12510,13929,14198,13655,14319,16074,15881,12804,2259,8460,10723,8206,5810,4703
"Blackburn with Darwen","E06000008",154737,4016,9451,10063,10643,10790,10022,9889,10303,9360,8006,1442,5236,6203,4086,2848,2586
"Blackpool","E06000009",141039,2627,7446,8572,9499,8523,7718,8618,10539,10993,9418,1730,5944,7867,5821,4140,3691
"Cheshire East","E06000049",398773,6361,17620,21744,24345,24534,23873,26433,30278,30468,25647,4455,17880,24352,18033,12443,12064
"Cheshire West and Chester","E06000050",357153,7019,19681,21236,22467,22351,20863,22935,26045,26572,22706,4108,15716,20557,14978,10661,9727
"Cumberland","E06000063",273260,4857,13376,15818,15964,15807,14643,16668,20467,21517,19813,3469,13607,17608,12037,8640,7861
"Westmorland and Furness","E06000064",226583,3928,10228,11949,12444,12145,11684,13751,17388,18499,16916,2978,11936,16059,11711,8181,7435
"Burnley","E07000117",94647,1940,5171,6147,6753,6311,5696,5728,6329,6340,5589,997,3734,4819,3321,2148,1879
"Chorley","E07000118",117732,1949,5339,6605,7659,7805,7356,8019,8988,8657,7294,1274,5122,7000,4951,3188,2581
"Fylde","E07000119",81377,1221,3249,3778,4263,4460,4211,4744,6027,6663,6324,1138,4439,5995,4670,3202,3199
"Hyndburn","E07000120",82233,1748,4538,5358,5654,5190,4736,5060,5919,5510,4777,850,3203,4232,3025,1978,1714
"Lancaster","E07000121",142937,6290,12778,7978,8249,8434,7694,7899,9503,9785,8802,1555,6170,7955,5742,4016,3913
"Pendle","E07000122",95757,2053,5223,5593,6430,6515,5861,5888,6272,6145,5544,998,3805,4951,3302,2165,2025
"Preston","E07000123",147839,4505,12600,11012,10730,9936,9140,8992,9457,9309,7688,1360,4819,5702,4003,2981,2940
"Ribble Valley","E07000124",61559,1031,2714,2891,3244,3234,3332,3983,4983,5134,4588,788,2972,4047,3035,2079,1929
"Rossendale","E07000125",70870,1310,3249,4100,4607,4403,4320,4745,5551,5273,4455,782,3111,3991,2618,1633,1519
"South Ribble","E07000126",111039,1974,5191,6158,7074,6691,6612,7398,8313,8472,7097,1311,5007,6740,4761,3311,2903
"West Lancashire","E07000127",117424,5001,8100,5883,6486,6270,6140,7060,8488,8931,7646,1390,5264,7050,5266,3662,3086
"Wyre","E07000128",111945,1876,4755,5481,5852,5765,5490,6356,8003,8783,8361,1507,6053,8419,6304,4564,4155
"Bolton","E08000001",295963,6554,16638,17768,20042,19942,18508,18771,20123,19211,16210,2769,11102,14190,10084,6783,5794
"Bury","E08000002",193846,3853,9545,11534,13477,13360,12075,12485,13444,13460,11289,1898,7528,9970,7011,4814,4224
"Manchester","E08000003",551936,22749,61887,52583,47999,42050,35778,31067,30370,26693,21642,3651,12832,13817,9206,6689,5973
"Oldham","E08000004",242093,5807,14133,14975,16720,16194,15093,14846,16038,15057,12646,2233,8586,10640,7591,5353,4215
"Rochdale","E08000005",223773,4675,12201,14077,15916,15317,14132,13978,15110,14382,12494,2285,8571,10333,6982,4591,4105
"Salford","E08000006",269929,6882,22657,26434,24441,20474,16344,14980,15436,15047,12666,2072,7609,9972,6887,5006,4381
"Stockport","E08000007",294773,4888,13367,16943,20058,20399,19500,19188,20562,20457,17701,3274,12024,15653,11483,8579,8262
"Tameside","E08000008",231071,4496,11907,14952,16566,15740,14377,14665,16602,16298,13758,2432,8819,11558,7972,5331,4403
"Trafford","E08000009",235053,4314,10531,12567,14902,17338,17379,16493,16465,15918,13052,2316,8508,10664,7919,6049,5837
"Wigan","E08000010",329329,6136,17057,20834,22855,21674,19645,21435,24984,23248,19734,3429,13478,18340,13482,8463,6410
"Knowsley","E08000011",154519,3044,8578,10618,11687,10318,8538,8787,10728,11738,10509,1788,6425,6899,4415,3509,3206
"Liverpool","E08000012",486088,19462,49337,38082,37314,33137,27773,26579,29155,30659,27542,4887,17534,19994,13260,9991,8656
"St. Helens","E08000013",183246,3263,9369,11521,12258,11713,10702,11816,13433,13290,11486,2097,7871,10529,7552,5207,4385
"Sefton","E08000014",279230,4907,13500,15234,17138,16833,15554,16700,20110,21679,19815,3450,13439,16496,12436,9591,9351
"Wirral","E08000015",320200,5798,15076,17866,19756,19223,18369,19757,22948,23934,21519,3840,15079,19101,13376,9714,9280
"Kingston upon Hull, City of","E06000010",267015,6352,19426,20220,20818,18707,15802,16304,17253,17217,14926,2548,9672,11382,7096,5233,4894
"East Riding of Yorkshire","E06000011",342215,5714,14437,16830,18010,18027,18003,21530,25589,27138,24920,4745,18338,25349,17942,12658,11463
"North East Lincolnshire","E06000012",156965,2910,7968,9316,10411,9516,8416,9458,11077,11803,10218,1856,6893,8856,6222,4660,4349
"North Lincolnshire","E06000013",169677,3033,8123,9682,10627,10287,9282,10378,12515,12989,11407,2106,7919,10226,7297,5006,4724
"York","E06000014",202821,9320,20355,12971,12874,12552,11872,11932,13260,12962,11256,2010,7773,10482,7465,5522,5481
"North Yorkshire","E06000065",615497,10784,26260,31341,33725,33229,33278,37872,46571,49664,45151,8215,31750,42221,30429,21191,20022
"Barnsley","E08000016",244572,4369,12448,16132,16818,15687,13825,15345,18720,17962,15603,2813,10586,13063,9540,6224,5371
"Doncaster","E08000017",308107,5772,16212,20190,21851,20113,17979,18704,21805,22003,19576,3572,12970,16319,11512,8026,7453
"Rotherham","E08000018",265808,5269,14098,16400,18027,16999,15280,16659,19466,18603,16409,2866,11165,14211,10626,7236,6124
"Sheffield","E08000019",556524,19182,50873,40536,38867,35034,32143,32238,36319,34488,29508,5219,19576,24618,18881,13749,12776
